model,true_torus_distance,learned_distance
r2_gw,0.3657618463039398,0.4660075604915619
r2_gw,0.6658838391304016,0.3064117729663849
r2_gw,0.587164580821991,0.5902197957038879
r2_gw,0.6490488052368164,0.18122218549251556
r2_gw,0.776619553565979,0.5984472632408142
r2_gw,0.20320813357830048,0.06417776644229889
r2_gw,0.7206043601036072,0.5739724636077881
r2_gw,0.6364783644676208,0.5656272172927856
r2_gw,0.8275460600852966,0.5943430662155151
r2_gw,0.3888763189315796,0.41181057691574097
r2_gw,0.3744978606700897,0.2891884446144104
r2_gw,0.36654219031333923,0.15501904487609863
r2_gw,0.6986440420150757,0.6033440828323364
r2_gw,0.524346113204956,0.5953563451766968
r2_gw,0.7875349521636963,0.611587643623352
r2_gw,0.7501028180122375,0.7646287083625793
r2_gw,0.343497097492218,0.479162335395813
r2_gw,0.5904648900032043,0.694976270198822
r2_gw,0.3693199157714844,0.1569472998380661
r2_gw,0.2679324150085449,0.3013978600502014
r2_gw,0.6651773452758789,0.599972665309906
r2_gw,0.5761168599128723,0.5900411009788513
r2_gw,0.4189598858356476,0.4978315830230713
r2_gw,0.39981016516685486,0.5766605138778687
r2_gw,0.47009411454200745,0.3427889049053192
r2_gw,0.5920997858047485,0.461814284324646
r2_gw,0.24189282953739166,0.41341179609298706
r2_gw,0.3695838153362274,0.0395440012216568
r2_gw,0.8478593230247498,0.6220284700393677
r2_gw,0.6863661408424377,0.39541563391685486
r2_gw,0.5220471024513245,0.2484385073184967
r2_gw,0.7955343127250671,0.6304768919944763
r2_gw,0.5128540396690369,0.603988528251648
r2_gw,0.49928632378578186,0.5379352569580078
